duration,year,hour
300.0,2005,18
21600.0,2000,21
600.0,2006,21
15.0,2014,20
300.0,2011,21
4.0,1972,1
7200.0,2006,21
900.0,2013,20
10.0,1998,10
10.0,2013,22
10.0,2004,12
1800.0,2003,8
60.0,2010,18
300.0,2013,16
30.0,2012,18
900.0,2014,22
900.0,1997,12
2700.0,2008,11
2700.0,2008,11
2700.0,2006,14
1800.0,2006,14
3.0,1986,2
180.0,1949,21
900.0,2009,20
90.0,1999,13
300.0,2012,21
60.0,2006,14
900.0,2001,22
2.0,2013,8
10.0,2012,21
2.0,2013,18
300.0,2014,22
60.0,2014,3
420.0,2012,21
1200.0,2009,23
60.0,2010,0
90.0,2012,0
5400.0,2012,19
28800.0,2000,23
600.0,2014,19
300.0,2013,22
300.0,2010,20
300.0,2012,9
300.0,2005,23
300.0,2012,19
3.0,2006,17
180.0,2013,23
180.0,1987,6
180.0,2013,18
180.0,2014,0
1200.0,2012,23
20.0,2003,23
2.0,2006,23
2.0,2011,21
15.0,2003,0
900.0,1995,22
900.0,2004,20
780.0,2005,21
900.0,2012,19
600.0,2003,21
60.0,2012,20
3600.0,2012,21
300.0,2012,1
30.0,2003,7
7200.0,2005,1
4.0,2014,0
180.0,2013,21
120.0,2005,0
900.0,1998,20
300.0,2003,0
300.0,2012,19
120.0,2012,19
20.0,2004,8
180.0,2008,15
5.0,2007,20
1800.0,2012,6
120.0,2012,20
900.0,2010,1
600.0,2002,8
300.0,2013,18
30.0,2013,2
600.0,2012,20
60.0,2002,20
600.0,2013,1
2400.0,1998,23
37800.0,1998,23
30.0,2012,22
120.0,2013,18
90.0,2009,17
600.0,2012,22
900.0,2009,1
120.0,2002,23
120.0,1996,14
780.0,2014,11
180.0,1998,3
240.0,2014,1
60.0,2014,11
120.0,1973,22
1200.0,2014,22
120.0,1995,19
18000.0,1974,9
600.0,2001,0
15.0,2003,0
900.0,1966,18
120.0,2013,1
600.0,2012,1
60.0,2000,23
120.0,2012,23
1200.0,2008,0
10.0,2001,23
360.0,2013,20
900.0,1998,12
180.0,1936,17
1500.0,2005,5
30.0,1969,23
180.0,1993,11
300.0,2011,20
5400.0,2003,1
600.0,2001,5
600.0,2013,20
120.0,2013,20
180.0,2013,20
60.0,2013,21
300.0,2003,18
300.0,2013,22
120.0,1949,11
300.0,2002,0
240.0,2006,21
180.0,2013,21
120.0,2013,21
300.0,1998,20
240.0,1969,19
420.0,2013,21
600.0,2012,21
600.0,2013,1
4.0,2009,22
1200.0,2004,21
120.0,2013,23
15.0,2005,20
900.0,2012,19
600.0,2009,23
180.0,2012,19
2700.0,2005,20
2700.0,2005,21
1800.0,2001,2
604800.0,2009,18
30.0,2000,18
3.0,1998,22
10800.0,2004,3
120.0,2012,16
120.0,1999,21
10.0,2006,12
3600.0,2011,2
2.0,2008,15
1800.0,2004,20
14.0,2013,23
1200.0,2011,8
120.0,2008,16
120.0,2012,21
1140.0,1954,2
120.0,1986,14
1500.0,1980,23
3600.0,1989,22
12600.0,2005,0
1800.0,2012,18
3600.0,2009,22
5.0,2007,3
300.0,2012,19
1200.0,2012,22
1800.0,2012,1
1800.0,2012,1
5.0,2000,0
40.0,2009,23
300.0,2011,0
7200.0,1985,1
15.0,2005,18
60.0,2010,16
7200.0,1997,21
600.0,2011,17
900.0,1968,2
900.0,1968,2
900.0,1982,14
10.0,2009,2
60.0,1998,23
1800.0,2009,16
600.0,1997,23
40.0,2000,8
30.0,2003,23
5.0,1987,21
300.0,1969,17
7200.0,2014,11
900.0,2004,0
60.0,2014,11
7.0,1999,23
120.0,2014,21
4.0,2004,20
7200.0,2012,22
960.0,2013,17
20.0,2012,16
180.0,1978,14
600.0,2008,20
180.0,1998,18
300.0,2013,14
60.0,2014,0
180.0,2013,1
10.0,2002,5
1.0,2001,23
1200.0,1999,22
900.0,1962,19
7200.0,2001,22
600.0,2014,22
8.0,1999,0
900.0,2005,19
600.0,2014,23
7200.0,2011,21
45.0,1999,1
5.0,2013,21
3.0,2013,22
10800.0,2007,22
15.0,2012,23
60.0,2013,5
30.0,2002,0
20.0,2006,23
2.0,2006,1
90.0,1998,20
3600.0,2000,16
1200.0,1999,20
600.0,1998,22
480.0,2011,4
1200.0,2011,20
600.0,2000,22
10.0,1997,15
4800.0,1988,0
2700.0,1975,18
180.0,2008,0
900.0,2013,4
60.0,2013,21
1200.0,2013,21
1200.0,2013,19
120.0,1999,22
300.0,2014,23
1200.0,2001,22
60.0,2013,21
40.0,2012,21
600.0,2010,0
480.0,2001,22
20.0,2000,10
120.0,2012,6
15.0,2011,22
5.0,1985,2
300.0,2011,21
30.0,1996,22
180.0,1999,21
180.0,1999,21
43200.0,2001,1
120.0,1990,20
600.0,2012,22
1.0,2013,18
7200.0,1976,22
1200.0,1984,23
420.0,1990,9
1800.0,1987,1
900.0,1986,23
1020.0,1969,10
300.0,2009,21
90.0,2002,21
22.0,2014,19
3600.0,2014,11
300.0,2011,4
300.0,2013,23
300.0,2013,20
180.0,1988,7
120.0,2013,18
10.0,2013,21
30.0,1999,22
10.0,2005,22
600.0,1995,2
60.0,2006,12
300.0,2012,19
1800.0,2011,20
1800.0,2011,20
120.0,2010,21
2.0,2011,9
300.0,2013,23
180.0,1997,3
240.0,2005,1
900.0,2009,19
900.0,2014,2
60.0,2014,22
2.0,2007,22
300.0,2012,23
420.0,2010,0
660.0,2010,12
1500.0,2001,8
600.0,2001,20
1200.0,2003,14
180.0,2012,20
120.0,2008,20
300.0,2008,1
5.0,2012,19
1800.0,2010,17
60.0,2000,19
180.0,2013,20
900.0,1999,17
10.0,2013,17
5.0,2008,1
300.0,2011,22
180.0,2012,4
7200.0,2007,21
1200.0,2008,2
600.0,2010,16
7200.0,2009,3
2700.0,1999,22
2700.0,1998,9
900.0,2011,19
300.0,2003,22
180.0,2010,20
8.0,2011,7
15.0,2011,8
120.0,2003,19
10.0,1998,17
1800.0,2012,17
300.0,2013,21
10.0,2008,2
120.0,2006,21
120.0,2007,18
15.0,2003,22
600.0,1999,20
1200.0,2006,22
30.0,2012,15
12.0,2008,12
5.0,2003,20
60.0,2009,9
5.0,2007,21
600.0,2007,21
3600.0,2005,19
300.0,1985,17
120.0,2011,3
420.0,2012,22
90.0,2008,19
4.0,2009,23
600.0,2001,0
1800.0,2014,20
60.0,2002,21
1200.0,2010,17
73800.0,1987,1
1800.0,2000,22
5.0,2007,6
15.0,2004,2
360.0,2008,7
60.0,2006,17
45.0,2004,0
15.0,2011,21
10.0,2006,17
1800.0,2012,21
20.0,2007,21
420.0,2003,0
300.0,1976,18
180.0,1975,17
180.0,2007,23
60.0,2007,20
180.0,2012,5
30.0,2006,17
15.0,2006,1
60.0,2013,20
4.0,1999,19
40.0,2014,18
60.0,2014,19
3600.0,2012,20
12.0,2006,17
600.0,2014,20
2400.0,2003,22
2400.0,2009,18
15.0,2006,5
900.0,2012,3
300.0,2013,20
2.0,2007,0
900.0,2009,17
300.0,1967,18
540.0,2012,23
3600.0,1978,23
60.0,2003,19
5.0,1999,4
45.0,2006,17
180.0,2012,5
120.0,2006,11
600.0,1999,0
7200.0,2006,16
240.0,2010,0
180.0,1980,21
120.0,2005,23
120.0,2009,1
20.0,2008,23
420.0,2007,21
240.0,2008,0
30.0,2012,6
3.0,1951,19
60.0,2013,1
300.0,2003,0
600.0,2014,20
300.0,2006,8
120.0,2008,5
20.0,1956,0
120.0,2010,10
15.0,2006,17
600.0,2014,20
2700.0,2013,23
30.0,1973,15
120.0,2013,19
240.0,2014,3
240.0,1978,19
240.0,2012,6
900.0,2012,15
300.0,2004,20
8.0,2013,18
600.0,2011,21
1800.0,2008,0
1200.0,1971,19
300.0,2003,19
30.0,2008,19
120.0,2012,23
900.0,2010,22
300.0,2004,19
300.0,1973,18
360.0,1972,8
900.0,1975,23
600.0,1987,22
90.0,1985,19
3.0,1994,14
1200.0,1967,18
300.0,2000,18
300.0,2003,16
180.0,2013,21
600.0,2003,22
180.0,2005,16
3600.0,2000,19
300.0,2003,22
300.0,2003,22
300.0,2003,22
600.0,2010,15
540.0,2005,14
900.0,2006,20
30.0,2005,13
45.0,2010,19
120.0,2000,21
23.0,2013,21
30.0,1995,22
1800.0,2008,23
3600.0,2013,0
10.0,2014,22
600.0,2014,20
2400.0,2012,20
3600.0,2009,5
600.0,1998,7
900.0,1973,21
2.0,2014,18
180.0,1967,20
120.0,1998,20
10.0,2013,19
300.0,2008,18
240.0,2009,21
120.0,2014,19
1200.0,2009,23
60.0,2007,18
30.0,2004,20
900.0,2003,20
600.0,2011,6
600.0,2008,17
15.0,2009,18
3600.0,2004,1
3600.0,2011,10
600.0,2008,21
30.0,2007,9
3600.0,2003,20
5.0,2002,21
0.5,2008,6
120.0,2013,20
600.0,2007,8
3.0,2002,18
240.0,2003,23
10.0,2005,5
120.0,1975,22
900.0,1998,21
420.0,2012,0
25.0,2011,20
600.0,2010,23
60.0,1997,14
7200.0,2014,20
10.0,2013,17
30.0,1997,14
5.0,2008,21
600.0,2013,21
60.0,1964,18
5.0,2012,22
180.0,2006,21
1200.0,2010,22
60.0,2013,21
10.0,2008,23
4.0,2003,9
30.0,2010,18
300.0,2013,22
240.0,2012,19
1800.0,2013,21
20.0,2001,4
120.0,2004,15
1800.0,2006,23
300.0,2013,20
600.0,2007,22
600.0,2007,21
5.0,2000,21
1200.0,2011,22
1800.0,2005,12
240.0,2000,21
15.0,2010,13
120.0,2009,8
120.0,1971,21
900.0,2001,21
180.0,1999,19
300.0,2014,21
720.0,2004,21
600.0,2014,20
30.0,1976,22
4.0,2010,22
60.0,1968,19
900.0,2010,4
45.0,1965,14
600.0,1978,15
6.0,1968,12
30.0,2008,8
90.0,2012,9
7200.0,2007,18
300.0,1999,14
1200.0,2008,1
14400.0,2013,19
5.0,2004,22
600.0,1999,21
30.0,2012,18
120.0,2012,15
180.0,2012,9
30.0,2014,20
5.0,2007,21
3600.0,2012,3
900.0,2010,22
20.0,2012,21
5.0,2005,7
300.0,2006,21
2040.0,2007,22
300.0,2013,21
3600.0,2008,4
3600.0,1997,14
1800.0,2007,20
180.0,1998,21
300.0,2013,21
1800.0,2005,21
900.0,2007,21
20.0,2013,21
300.0,2013,11
300.0,2004,19
600.0,2013,22
900.0,2001,20
300.0,2002,23
120.0,1997,18
10.0,1980,3
2.0,2013,20
7200.0,2005,18
480.0,2011,20
720.0,2008,22
300.0,2011,20
300.0,2013,11
180.0,2011,20
600.0,2004,23
10.0,2005,20
10.0,2004,21
120.0,2012,14
4.0,2013,20
180.0,2011,21
300.0,2013,21
1080.0,2003,5
900.0,2014,20
3600.0,2005,22
300.0,2002,22
2.0,2014,18
7200.0,2005,20
900.0,2004,20
300.0,2005,0
1800.0,2005,20
2.0,2006,18
20.0,2004,21
10.0,2001,20
12.0,2013,17
120.0,2005,23
600.0,2003,14
600.0,2014,0
9.0,2003,15
8.0,2000,21
3.0,2012,19
720.0,2013,21
1200.0,2013,19
3.0,2012,22
480.0,2012,19
300.0,2002,21
240.0,2006,9
120.0,2011,17
900.0,2005,17
20.0,2001,21
120.0,2007,21
120.0,2014,22
120.0,2003,18
600.0,1968,9
1800.0,2005,21
240.0,2013,23
900.0,1999,15
300.0,2005,19
240.0,2000,11
4500.0,2011,22
10.0,2005,18
1800.0,2014,14
1.0,2000,1
480.0,2014,13
900.0,2003,22
300.0,2013,22
2.0,2006,22
90.0,1999,23
30.0,1999,20
600.0,1998,23
2.0,2007,20
120.0,2013,19
120.0,2014,21
120.0,2013,22
7200.0,2007,4
15.0,2006,17
15.0,2004,22
900.0,1998,21
600.0,2012,5
180.0,2013,9
2700.0,1988,21
240.0,2009,9
7200.0,2010,20
15.0,2010,8
600.0,2014,20
30.0,1999,22
2.0,2005,3
60.0,2006,21
5.0,2012,20
30.0,2013,21
30.0,2013,14
1200.0,2004,14
240.0,1961,12
420.0,2007,19
5.0,2011,22
120.0,2014,2
15.0,2005,4
600.0,1998,22
45.0,2006,5
120.0,1972,20
3600.0,1988,2
30.0,2012,19
600.0,2011,20
5.0,2001,18
300.0,2002,15
30.0,2007,23
180.0,2013,20
15.0,2002,2
45.0,2007,20
120.0,2011,21
600.0,2009,11
120.0,2003,17
15.0,2012,21
120.0,2003,23
240.0,2013,10
300.0,2000,9
1800.0,2008,21
10.0,1985,20
960.0,2006,19
6.0,2004,23
120.0,1992,20
2.0,2008,22
10.0,2011,19
120.0,2008,15
180.0,1968,21
900.0,2000,2
540.0,2007,21
300.0,2013,21
20.0,2001,23
300.0,2013,21
300.0,2007,21
3600.0,1973,20
10.0,2013,18
10.0,2013,18
300.0,2001,20
3600.0,2006,21
5.0,2002,22
180.0,2012,20
10800.0,2007,22
180.0,2012,13
7200.0,2007,21
3600.0,2011,21
300.0,2009,17
120.0,2010,21
720.0,2007,20
60.0,2014,19
5.0,2006,18
60.0,1949,16
60.0,2002,16
180.0,2011,21
15.0,2002,0
3600.0,2009,23
600.0,2013,3
600.0,2010,20
10.0,1966,22
7200.0,2005,20
10.0,2011,22
2.0,2007,6
300.0,2002,20
15.0,2003,19
5.0,2007,23
2.0,2007,23
5.0,2005,0
300.0,2011,23
60.0,1998,5
1800.0,2005,19
20.0,1999,18
60.0,2013,18
120.0,2013,23
60.0,2014,17
2700.0,2013,18
600.0,1997,20
300.0,1979,18
300.0,1984,17
60.0,2003,11
300.0,2011,22
30.0,2002,17
60.0,2003,23
60.0,2000,12
15.0,1972,15
120.0,2011,22
30.0,2014,0
120.0,2009,20
600.0,2005,1
300.0,2012,20
30.0,1980,16
7200.0,2006,3
2.0,1984,18
600.0,2012,16
300.0,2004,5
180.0,1999,0
900.0,1973,23
300.0,1994,17
10.0,2005,0
1200.0,1999,13
300.0,2000,23
30.0,2005,2
10800.0,1994,21
120.0,1994,22
600.0,1994,22
60.0,2010,22
240.0,2008,6
5400.0,2006,4
7200.0,2003,0
40.0,1995,1
180.0,2006,22
2700.0,2003,2
240.0,2012,20
109800.0,2003,4
900.0,2012,11
600.0,2013,20
1800.0,2005,21
120.0,2014,17
720.0,2014,15
20.0,1980,20
120.0,2014,14
600.0,2013,16
300.0,1993,21
60.0,1967,22
300.0,2013,5
10.0,2009,7
45.0,1999,21
5.0,2012,16
10.0,1974,20
120.0,2012,21
2.0,2013,23
7200.0,2006,19
5.0,1994,22
5.0,2012,15
900.0,2003,20
240.0,2011,21
30.0,2004,22
120.0,2014,21
300.0,2007,21
900.0,2004,19
3600.0,2005,12
1800.0,2004,12
300.0,2010,23
60.0,2003,16
120.0,2012,21
15.0,2000,21
30.0,2009,18
300.0,2007,8
600.0,2013,11
300.0,2008,11
180.0,1966,20
300.0,2013,18
1200.0,2009,20
2700.0,2008,2
3360.0,2009,22
2.0,2009,21
600.0,2004,20
10.0,1986,14
120.0,2006,17
10.0,2008,7
600.0,2013,23
10.0,2007,2
120.0,2013,23
120.0,2009,23
1.0,2013,22
20.0,2012,21
3600.0,2004,19
300.0,2014,14
3600.0,1993,21
180.0,2008,22
120.0,2010,21
60.0,2009,15
120.0,2006,12
1800.0,2008,22
360.0,2008,21
7200.0,2012,19
172800.0,2011,5
600.0,2009,21
4800.0,2007,17
180.0,1998,21
60.0,2000,20
120.0,1970,21
300.0,2009,23
20.0,1995,17
360.0,2007,21
120.0,2012,20
120.0,2012,20
3600.0,2009,1
1200.0,2007,6
300.0,1994,12
60.0,2002,22
8700.0,2008,1
300.0,2013,20
10.0,2008,5
300.0,1971,19
600.0,1949,22
120.0,2014,21
300.0,2014,22
3600.0,2012,8
1800.0,2011,19
1500.0,2014,8
3.0,1999,4
1500.0,2014,8
600.0,2006,20
5.0,1999,11
60.0,1993,22
300.0,2014,0
240.0,2012,21
2.0,2008,22
10.0,2005,22
900.0,1999,17
60.0,2011,17
900.0,2003,23
60.0,1996,17
120.0,2013,18
60.0,2013,20
10.0,2000,21
1800.0,2009,5
600.0,2004,1
1500.0,2008,4
180.0,2008,3
2.0,2014,23
30.0,2009,20
1200.0,1975,2
15.0,2002,20
7200.0,1972,20
8.0,2008,19
20.0,2007,21
300.0,1974,22
120.0,2013,19
60.0,1992,17
120.0,2000,5
15.0,2009,19
300.0,1939,20
180.0,2013,22
180.0,2013,22
1800.0,1995,19
120.0,2008,21
7.0,1999,4
1200.0,1994,23
10.0,2001,21
60.0,2014,0
120.0,1992,2
1800.0,2007,18
180.0,1996,21
900.0,2009,18
300.0,2013,19
25.0,2005,23
45.0,2010,19
4.0,2009,21
1200.0,2010,4
60.0,2008,11
30.0,2003,5
120.0,2012,22
180.0,2001,23
60.0,2003,0
3.0,2005,23
300.0,1989,20
15.0,2011,19
600.0,1980,1
180.0,2008,20
180.0,2010,20
480.0,1989,19
120.0,2008,23
240.0,2004,20
240.0,2004,23
600.0,2004,6
20.0,2013,19
180.0,2000,23
30.0,2013,21
7200.0,2002,20
180.0,2012,10
900.0,2014,21
300.0,2010,0
60.0,2010,0
2.0,2009,19
2700.0,2011,21
120.0,2011,21
300.0,2001,9
1800.0,2005,21
10800.0,1973,0
14400.0,1970,17
3.0,2001,21
10.0,2009,2
45.0,2011,22
1800.0,2010,0
300.0,2012,20
180.0,2002,22
15.0,2007,19
120.0,2002,20
240.0,2013,22
60.0,2010,3
3600.0,2005,2
5.0,2003,23
2.0,2013,22
30.0,2002,17
600.0,2013,21
120.0,2011,21
180.0,2013,22
300.0,2013,21
180.0,2011,22
900.0,2012,19
420.0,2007,21
180.0,2003,0
2.0,2010,0
15.0,2007,21
1200.0,2001,19
10.0,2009,19
10.0,1982,19
10.0,1982,19
7200.0,1968,16
30.0,2002,10
7200.0,2000,23
1200.0,2010,21
10.0,2003,18
2100.0,1967,23
180.0,1987,16
2.0,2002,0
300.0,2005,12
420.0,2004,11
2.0,2013,22
2.0,2013,3
60.0,2001,9
1.0,2013,1
120.0,2004,22
120.0,2007,22
120.0,2012,0
600.0,2005,19
1800.0,2005,19
1800.0,2005,19
1800.0,2005,19
120.0,2013,20
10.0,1987,18
4.0,2000,20
300.0,2013,22
120.0,2011,12
120.0,2012,21
300.0,2007,21
120.0,1999,20
90.0,2003,22
3600.0,1965,20
3600.0,2003,1
4.0,2011,22
1.0,2011,21
120.0,2011,21
300.0,2011,23
120.0,1999,1
900.0,1999,23
600.0,2008,0
60.0,2012,21
300.0,2013,22
180.0,2012,21
600.0,2008,21
120.0,2012,21
45.0,2009,22
30.0,2011,3
1800.0,2010,23
